Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name
AE,Tamil Nadu,9,1,2006,5,0,3,1,Jayakumar D.,M,AIADMK,50647,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,53.26,no,13503,14.2,2.33,,,,,,,,,,,,,,,45,
AE,Tamil Nadu,9,1,2006,5,0,3,2,Sarkunapandian s P.,F,DMK,37144,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,39.06,no,32111,33.77,2.33,,,,,,,,,,,,,,,65,
AE,Tamil Nadu,9,1,2006,5,0,3,3,Royapuram v Babu,M,DMDK,5033,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,5.29,yes,4298,4.52,2.33,,,,,,,,,,,,,,,49,
AE,Tamil Nadu,9,1,2006,5,0,3,4,Kumar V.c.,M,BJP,735,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,0.77,yes,310,0.33,2.33,,,,,,,,,,,,,,,42,
AE,Tamil Nadu,9,1,2006,5,0,3,5,Sreenivasulu J.,M,BSP,425,SC,95090,137772,ROYAPURAM,GEN,,12,69.02,0.45,yes,93,0.1,2.33,,,,,,,,,,,,,,,40,
AE,Tamil Nadu,9,1,2006,5,0,3,6,Alexander G.,M,LJP,332,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,0.35,yes,66,0.07,2.33,,,,,,,,,,,,,,,43,
AE,Tamil Nadu,9,1,2006,5,0,3,7,Sornaraj N.,M,IND,266,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,0.28,yes,79,0.08,2.33,,,,,,,,,,,,,,,41,
AE,Tamil Nadu,9,1,2006,5,0,3,8,Arivunithi K.,M,IND,187,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,0.2,yes,71,0.07,2.33,,,,,,,,,,,,,,,30,
AE,Tamil Nadu,9,1,2006,5,0,3,9,Saravanan P.v.,M,IND,116,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,0.12,yes,25,0.03,2.33,,,,,,,,,,,,,,,30,
AE,Tamil Nadu,9,1,2006,5,0,3,10,Selvaraj M.,M,IND,91,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,0.1,yes,21,0.02,2.33,,,,,,,,,,,,,,,41,
AE,Tamil Nadu,9,1,2006,5,0,3,11,Anbarasu v.,M,IND,70,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,0.07,yes,26,0.03,2.33,,,,,,,,,,,,,,,26,
AE,Tamil Nadu,9,1,2006,5,0,3,12,Sudhakar R.,M,IND,44,GEN,95090,137772,ROYAPURAM,GEN,,12,69.02,0.05,yes,0,0,2.33,,,,,,,,,,,,,,,30,
AE,Tamil Nadu,9,2,2006,5,0,3,1,Anbazhagan K.,M,DMK,26545,GEN,60005,105115,HARBOUR,GEN,,10,57.09,44.24,no,410,0.68,2.5,,,,,,,,,,,,,,,83,
AE,Tamil Nadu,9,2,2006,5,0,3,2,Seema Basheer H.,M,MDMK,26135,GEN,60005,105115,HARBOUR,GEN,,10,57.09,43.55,no,21354,35.59,2.5,,,,,,,,,,,,,,,49,
AE,Tamil Nadu,9,2,2006,5,0,3,3,Chandra Prakasam c,M,DMDK,4781,GEN,60005,105115,HARBOUR,GEN,,10,57.09,7.97,yes,2885,4.81,2.5,,,,,,,,,,,,,,,55,
AE,Tamil Nadu,9,2,2006,5,0,3,4,Vaithialingam v.,M,BJP,1896,GEN,60005,105115,HARBOUR,GEN,,10,57.09,3.16,yes,1648,2.75,2.5,,,,,,,,,,,,,,,57,
AE,Tamil Nadu,9,2,2006,5,0,3,5,Vinoba Gandhi C.h.,M,IND,248,GEN,60005,105115,HARBOUR,GEN,,10,57.09,0.41,yes,136,0.23,2.5,,,,,,,,,,,,,,,43,
AE,Tamil Nadu,9,2,2006,5,0,3,6,Munusamy P.,M,IND,112,GEN,60005,105115,HARBOUR,GEN,,10,57.09,0.19,yes,9,0.01,2.5,,,,,,,,,,,,,,,34,
AE,Tamil Nadu,9,2,2006,5,0,3,7,Mohammed Askar,M,IND,103,GEN,60005,105115,HARBOUR,GEN,,10,57.09,0.17,yes,23,0.04,2.5,,,,,,,,,,,,,,,34,
AE,Tamil Nadu,9,2,2006,5,0,3,8,Sakthivel K.,M,IND,80,SC,60005,105115,HARBOUR,GEN,,10,57.09,0.13,yes,15,0.02,2.5,,,,,,,,,,,,,,,28,
AE,Tamil Nadu,9,2,2006,5,0,3,9,Indrakumar S.,M,IND,65,SC,60005,105115,HARBOUR,GEN,,10,57.09,0.11,yes,25,0.04,2.5,,,,,,,,,,,,,,,30,
AE,Tamil Nadu,9,2,2006,5,0,3,10,Mohamed Jagubar,M,IND,40,GEN,60005,105115,HARBOUR,GEN,,10,57.09,0.07,yes,0,0,2.5,,,,,,,,,,,,,,,44,
AE,Tamil Nadu,9,3,2006,5,0,3,1,Sekar Babu P.k.,M,AIADMK,84462,GEN,167730,239326,DR. RADHAKRISHNAN NAGAR,GEN,,13,70.08,50.36,no,18063,10.77,2.44,,,,,,,,,,,,,,,43,
AE,Tamil Nadu,9,3,2006,5,0,3,2,Manohar R.,M,INC,66399,GEN,167730,239326,DR. RADHAKRISHNAN NAGAR,GEN,,13,70.08,39.59,no,54683,32.6,2.44,,,,,,,,,,,,,,,39,
AE,Tamil Nadu,9,3,2006,5,0,3,3,Mohamed Jan P.,M,DMDK,11716,GEN,167730,239326,DR. RADHAKRISHNAN NAGAR,GEN,,13,70.08,6.99,yes,9858,5.88,2.44,,,,,,,,,,,,,,,33,
AE,Tamil Nadu,9,3,2006,5,0,3,4,Prem Ananth K.p.,M,BJP,1858,GEN,167730,239326,DR. RADHAKRISHNAN NAGAR,GEN,,13,70.08,1.11,yes,828,0.49,2.44,,,,,,,,,,,,,,,45,
AE,Tamil Nadu,9,3,2006,5,0,3,5,Rajendran K.,M,IND,1030,GEN,167730,239326,DR. RADHAKRISHNAN NAGAR,GEN,,13,70.08,0.61,yes,456,0.27,2.44,,,,,,,,,,,,,,,44,
