Distt.,Area Name,Total 
602,TIRUVALLUR,618392
603,CHENNAI,712596
604,KANCHIPURAM,663647
605,VELLORE,721711
606,TIRUVANNAMALAI,440116
607,VILLUPURAM,638305
608,SALEM,609659
609,NAMAKKAL,306939
610,ERODE,347212
611,NILGIRIS,126828
612,DINDIGUL,370437
613,KARUR,172537
614,TIRUCHIRAPPALLI,468514
615,PERAMBALUR,105976
616,ARIYALUR,134139
617,CUDDALORE,475199
618,NAGAPATTINAM,297235
619,TIRUVARUR,224633
620,THANJAVUR,426675
621,PUDUKKOTTAI,291704
622,SIVAGANGA,232326
623,MADURAI,523415
624,THENI,222700
625,VIRUDHUNAGAR,345865
626,RAMANATHAPURAM,250042
627,THOOTHUKUDI,308460
628,TIRUNELVELI,541130
629,KANNIYAKUMARI,300537
630,DHARMAPURI,287611
631,KRISHNAGIRI,363351
632,COIMBATORE,520510
633,TIRUPUR,382938
